title,calory_count,proteins,fats,carbohydrates
Лунник,88,17.5,2.0,0.0
Луфарь океанический,109,19.7,3.4,0.0
Луциан,88,17.5,2.0,0.0
Мавроликус,173,14.0,13.0,0.0
Майонез,629,2.8,67.0,3.7
Макароны,337,10.4,1.1,69.7
Маковое масло,898,0.0,99.8,0.0
Макрель,113,20.7,3.4,0.0
Макрурус малоглазый,32,7.1,0.4,0.0
Макрурус тупорылый,67,13.3,1.6,0.0
Мак-семя,556,17.5,47.5,14.5
Малина,46,0.8,0.5,8.3
Мандарин,38,0.8,0.2,7.5
Маннит,370,0.0,0.0,98.9
Маргарин,744,0.0,82.5,0.5
Маргарин 60%,545,0.5,60.0,0.7
Маринка,88,17.5,2.0,0.0
Мармелад,321,0.1,0.0,79.4
Мармелад желейный,321,0.1,0.0,79.4
Маслины черные крупные,81,0.97,6.87,3.11
Маслины черные средние или мелкие,115,0.84,10.68,3.06
Масло арахисовое,899,0.0,99.9,0.0
Масло горчичное,898,0.0,99.8,0.0
Масло какао,899,0.0,99.9,0.0
Масло какаовелла,898,0.0,99.8,0.0
Масло канолы,899,0.0,99.9,0.0
Масло кокосовое,899,0.0,99.9,0.0
Масло конопляное,899,0.0,99.9,0.0
Масло кукурузное,899,0.0,99.9,0.0
Масло кунжутное,899,0.0,99.9,0.0
Масло льняное,898,0.0,99.8,0.0
Масло оливковое,898,0.0,99.8,0.0
Масло пальмовое,899,0.0,99.9,0.0
Масло подсолнечное,899,0.0,99.9,0.0
Масло рапсовое,899,0.0,99.9,0.0
Масло сливочное,747,0.5,82.5,0.8
Масло соевое,899,0.0,99.9,0.0
Масло топленое,892,0.2,99.0,0.0
Масляная рыба,113,18.8,4.2,0.0
Маслята,19,0.9,0.4,3.2
Масса творожная,232,12.0,16.5,9.5
Масса творожная с изюмом,345,7.1,23.0,27.1
Маш,308,24.6,1.4,52.7
Мед пчелиный,328,0.8,0.0,80.3
Мерланг,88,17.5,2.0,0.0
Мерроу,103,19.4,2.9,0.0
Мидии,77,11.5,2.0,3.3
Миндаль,609,18.6,53.7,13.0
Миндальный,524,6.6,35.8,46.8
Минога,88,17.5,2.0,0.0
Минтай,72,15.9,0.9,0.0
Мирабель,38,1.0,0.2,8.6
Миргородская,0,0.0,0.0,0.0
Можжевельник,116,0.0,0.0,31.0
Мозги бараньи,123,9.7,9.4,0.0
Мозги говяжьи,127,11.7,8.6,0.8
Мозги свинные,119,10.5,8.6,0.8
Мойва,116,13.1,7.1,0.0
Мойва весенняя,116,13.1,7.1,0.0
Мойва осенняя,217,13.6,18.1,0.0
Моллюск рапана,76,16.7,1.1,0.0
Молоко кобылье,39,2.2,1.0,5.8
Молоко козье,66,3.0,4.2,4.5
Молоко коровье,58,2.9,3.2,4.7
Молоко овечье,109,5.6,7.7,4.8
Молоко пастеризованное,45,3.0,1.5,4.8
Молоко пастеризованное нежирное,32,3.0,0.05,4.9
Молоко сгущенное (сгущёнка),259,7.5,0.2,56.8
Молоко стерилизованное,45,3.0,1.5,4.8
Молоко сухое,469,24.2,25.0,39.3
Молоко топленое 4%,67,2.9,4.0,4.7
Морковный сок,56,1.1,0.1,12.6
Морковь,33,1.3,0.1,7.2
Морковь квашеная,26,1.3,0.1,4.5
Морковь сушеная,221,7.8,0.6,49.2
Мороженое,124,3.2,3.5,21.3
Морошка,40,0.8,0.9,7.4
Морская капуста,5,0.9,0.2,0.0
Мука пшеничная,334,10.3,1.1,70.6
Мука рисовая,356,7.4,0.6,80.2
Мука соевая необезжиренная,385,36.5,18.6,17.9
Мука соевая обезжиренная,291,48.9,1.0,21.7
Мука соевая полуобезжиренная,334,43.0,9.5,19.1
Муксун,88,17.5,2.0,0.0
Муксун в томатном соусе,88,17.5,2.0,0.0
Мушмула,52,0.0,0.0,14.0
Мясной хлеб ветчинный,256,12.9,21.8,1.9
Мясной хлеб говяжий,263,10.5,23.9,1.4
Мясной хлеб отдельный,246,12.0,21.0,2.1
Мясо в белом соусе,201,18.0,12.8,3.8
Мясо косули,138,21.1,6.0,0.0
